Data Year,ID,Property Name,Reporting Status,Address,ZIP Code,Chicago Energy Rating,Exempt From Chicago Energy Rating,Community Area,Primary Property Type,Gross Floor Area - Buildings (sq ft),Year Built,# of Buildings,Water Use (kGal),ENERGY STAR Score,Electricity Use (kBtu),Natural Gas Use (kBtu),District Steam Use (kBtu),District Chilled Water Use (kBtu),All Other Fuel Use (kBtu),Site EUI (kBtu/sq ft),Source EUI (kBtu/sq ft),Weather Normalized Site EUI (kBtu/sq ft),Weather Normalized Source EUI (kBtu/sq ft),Total GHG Emissions (Metric Tons CO2e),GHG Intensity (kg CO2e/sq ft),Latitude,Longitude,Location,Row_ID
2023,101710,AlgonOuin #1,Submitted,1605 E. 50th Street,60615,1.0,,Kenwood,Multifamily Housing,59310,1950,1,,11,2949709.8,2256520,,,,87.8,179.2,87.8,179.2,532.6,9,41.910944,-87.626393,POINT (-87.626393 41.910944),2023-101710
2023,160211,633 N St. Clair,Submitted,633 N St. Clair,60611,4.0,,Near North Side,Office,632163,1991,1,,89,22004849.6,14385.6,,,,34.8,97.5,35.6,99.6,3079.7,4.9,41.74715,-87.628002,POINT (-87.628002 41.74715),2023-160211
2023,239016,Avenue East Condominiums,Submitted,160 East Illinois Street,60611,2.5,,Near North Side,Multifamily Housing,258647,2007,1,,59,7058395.8,7884286.8,,,,57.8,108.4,61.9,113.7,1406.4,5.4,41.7909,-87.671932,POINT (-87.671932 41.7909),2023-239016
2023,252049,Bond Chapel,Submitted,1025 East 58th Street,60637,4.0,,Hyde Park,Worship Facility,5252,1926,1,,3,107051.5,,707421.1,,,155.1,219.1,185.9,256.2,62,11.8,41.924508,-87.638223,POINT (-87.638223 41.924508),2023-252049
2023,250120,Sinai Schwab Rehabilitation Hospital,Submitted,1401 S California Ave,60608,2.0,,North Lawndale,Outpatient Rehabilitation/Physical Therapy,177380,1948,6,,,9671173.4,5193899.9,,,,83.8,183.4,88,188.1,1629.1,9.2,41.927891,-87.736002,POINT (-87.736002 41.927891),2023-250120
2023,250016,Loyola Park,Not Submitted,1230 W Greenleaf Ave,60626,0.0,,Rogers Park,Other - Recreation,,,,,,,,,,,,,,,,,41.78429,-87.688512,POINT (-87.688512 41.78429),2023-250016
2023,232458,Harper SOuare Housing Co-Op,Submitted,4800 S. Lake Park Ave.,60615,2.5,,Kenwood,Multifamily Housing,627680,1974,1,,37,13675052,37696682.7,,,,81.8,124.1,89.4,132.3,3915.7,6.2,41.980116,-87.655237,POINT (-87.655237 41.980116),2023-232458
2023,251456,Carnegie,Submitted,1414 E 61st Pl,60637,1.0,,Woodlawn,K-12 School,63979,1957,3,,25,1561576.9,4308160,,,,91.7,139,104.3,152.2,447.3,7,41.965013,-87.677281,POINT (-87.677281 41.965013),2023-251456
2023,251322,990 West Fullerton Building,Submitted,990 West Fullerton Ave,60614,4.0,,Lincoln Park,College/University,91963,1980,1,,,2983825.5,2064716,,,,54.9,114.4,55,114.7,527.2,5.7,41.778723,-87.682128,POINT (-87.682128 41.778723),2023-251322
2023,251467,Holmes Elementary -CPS,Not Covered 2024,955 W Garfield Blvd,60621,,true,Englewood,K-12 School,,,,,,,,,,,,,,,,,41.793339,-87.64971,POINT (-87.64971 41.793339),2023-251467
2023,172584,ASPIRA Early College High School,Not Submitted,3986 W Barry Ave,60618,0.0,,Avondale,Commercial,,,,,,,,,,,,,,,,,41.752251,-87.655245,POINT (-87.655245 41.752251),2023-172584
2023,173655,ACME Hotel Company,Submitted,15 E Ohio St,60611,4.0,,Near North Side,Hotel,80000,1927,1,3785,82,3186192,1863184.5,,,,63.1,136,65.1,140.5,544.8,6.8,41.930127,-87.746389,POINT (-87.746389 41.930127),2023-173655
2023,174135,Times SOuare Apartments,Submitted,869 Buena,60613,2.0,,Uptown,Multifamily Housing,142000,1923,1,,46,2987718.2,9821487.7,,,,90.2,131.5,98.1,140.8,939.7,6.6,41.781977,-87.61477,POINT (-87.61477 41.781977),2023-174135
2023,176010,420 N Wabash Ave,Submitted,420 N. Wabash Ave.,60611,1.0,,Near North Side,Office,102450,1906,1,,23,8165581.2,5107400.6,,,,129.6,275.5,132.8,283.1,1413.8,13.8,41.765712,-87.566626,POINT (-87.566626 41.765712),2023-176010
2023,251368,Washington HS,Submitted,3535 E 114th St,60617,3.0,,East Side,K-12 School,219291,1957,1,,38,4612101.8,14829340.1,,,,88.7,129.9,101.2,143.1,1433,6.5,41.845481,-87.621986,POINT (-87.621986 41.845481),2023-251368
2023,224416,400 East Ohio Condominium Association,Submitted,400 E Ohio Street,60611,1.0,,Near North Side,Multifamily Housing,285156,1981,1,,28,13397365.2,5589237.5,,,,66.6,152.1,72.2,164.5,2171.4,7.6,41.881906,-87.628097,POINT (-87.628097 41.881906),2023-224416
2023,256955,"Fletcher Lofts, LLC",Submitted,3141 N Sheffield Ave.,60657,1.0,,Lake View,Multifamily Housing,72570,2000,1,,30,2270439,2688428,,,,68.3,126.5,72.9,133.3,460.5,6.3,41.997463,-87.655466,POINT (-87.655466 41.997463),2023-256955
2023,158394,Michigan - 180 Property LLC,Submitted,180 N Michigan,60601,2.0,,Loop,Office,231521,1927,1,,,8824280.8,7780096.4,,,,71.7,142,76.7,147.9,1647.9,7.1,41.933931,-87.686598,POINT (-87.686598 41.933931),2023-158394
